Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1360,SDGSUICIDE,COUNTRY,TTO,AMR,Americas,YEAR,2000,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,25.6 [22.4-29.5],25.55457,22.4454,29.46892,,2025-01-10T10:52:31Z,2000,2000-01-01,2000-12-31
1617,SDGSUICIDE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2017,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,14.9 [11.3-17.0],14.86996,11.27464,16.96865,,2025-01-10T10:52:31Z,2017,2017-01-01,2017-12-31
1782,SDGSUICIDE,COUNTRY,AZE,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS30-49,,,,,1.5,1.49,,,,2021-07-16T09:31:20Z,2019,2019-01-01,2019-12-31
1966,SDGSUICIDE,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,1.2 [0.9-1.7],1.24904,0.86389,1.71826,,2025-01-10T10:52:31Z,2016,2016-01-01,2016-12-31
2571,SDGSUICIDE,COUNTRY,GRC,EUR,Europe,YEAR,2000,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,1.5 [1.3-1.8],1.50185,1.29587,1.79228,,2025-01-10T10:52:31Z,2000,2000-01-01,2000-12-31
2596,SDGSUICIDE,COUNTRY,MYS,WPR,Western Pacific,YEAR,2001,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,6.3 [4.6-8.4],6.3176,4.60518,8.35216,,2025-01-10T10:52:31Z,2001,2001-01-01,2001-12-31
3726,SDGSUICIDE,COUNTRY,MYS,WPR,Western Pacific,YEAR,2018,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,8.0 [5.4-10.8],7.9507,5.40314,10.82148,,2025-01-10T10:52:31Z,2018,2018-01-01,2018-12-31
3864,SDGSUICIDE,COUNTRY,MLT,EUR,Europe,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS65-74,,,,,5.7,5.66,,,,2021-07-06T14:15:45Z,2019,2019-01-01,2019-12-31
4667,SDGSUICIDE,COUNTRY,COG,AFR,Africa,YEAR,2000,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,12.0 [7.1-18.1],12.04382,7.13511,18.10646,,2025-01-10T10:52:31Z,2000,2000-01-01,2000-12-31
4952,SDGSUICIDE,COUNTRY,SUR,AMR,Americas,YEAR,2004,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,34.4 [26.5-43.0],34.41299,26.46919,42.97062,,2025-01-10T10:52:31Z,2004,2004-01-01,2004-12-31
4965,SDGSUICIDE,COUNTRY,KAZ,EUR,Europe,YEAR,2014,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,7.7 [6.7-8.5],7.69431,6.69564,8.48794,,2025-01-10T10:52:31Z,2014,2014-01-01,2014-12-31
8513,SDGSUICIDE,COUNTRY,TJK,EUR,Europe,YEAR,2015,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,1.7 [0.9-2.6],1.65268,0.94887,2.55091,,2025-01-10T10:52:31Z,2015,2015-01-01,2015-12-31
9763,SDGSUICIDE,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2012,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,9.2 [5.0-15.2],9.18049,5.01367,15.21632,,2025-01-10T10:52:31Z,2012,2012-01-01,2012-12-31
10381,SDGSUICIDE,COUNTRY,LBR,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS30-49,,,,,3.3,3.28,,,,2021-07-16T09:31:28Z,2019,2019-01-01,2019-12-31
10632,SDGSUICIDE,COUNTRY,SYC,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS75-84,,,,,15.8,15.84,,,,2021-07-06T14:16:09Z,2019,2019-01-01,2019-12-31
11235,SDGSUICIDE,COUNTRY,KAZ,EUR,Europe,YEAR,2021,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,24.4 [20.1-26.7],24.39849,20.05748,26.66909,,2025-01-10T10:52:31Z,2021,2021-01-01,2021-12-31
11373,SDGSUICIDE,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS85PLUS,,,,,17.2,17.16,,,,2021-07-06T14:16:19Z,2019,2019-01-01,2019-12-31
11865,SDGSUICIDE,GLOBAL,GLOBAL,,,YEAR,2007,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,14.6 [12.2-16.9],14.59116,12.15052,16.88868,,2025-01-10T10:52:31Z,2007,2007-01-01,2007-12-31
12384,SDGSUICIDE,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2013,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,0.5 [0.3-0.7],0.46736,0.30232,0.66365,,2025-01-10T10:52:31Z,2013,2013-01-01,2013-12-31
12537,SDGSUICIDE,COUNTRY,BWA,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS25-34,,,,,15,14.98,,,,2021-07-06T14:14:11Z,2019,2019-01-01,2019-12-31
12551,SDGSUICIDE,COUNTRY,VUT,WPR,Western Pacific,YEAR,2008,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,7.6 [4.7-12.2],7.5909,4.69309,12.24255,,2025-01-10T10:52:31Z,2008,2008-01-01,2008-12-31
12922,SDGSUICIDE,COUNTRY,COM,AFR,Africa,YEAR,2006,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,7.3 [3.8-14.5],7.34264,3.75295,14.48405,,2025-01-10T10:52:31Z,2006,2006-01-01,2006-12-31
13157,SDGSUICIDE,COUNTRY,BOL,AMR,Americas,YEAR,2003,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,6.4 [3.8-9.7],6.40855,3.76758,9.74933,,2025-01-10T10:52:31Z,2003,2003-01-01,2003-12-31
13670,SDGSUICIDE,COUNTRY,GAB,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS45-54,,,,,4.3,4.34,,,,2021-07-06T14:14:59Z,2019,2019-01-01,2019-12-31
14890,SDGSUICIDE,COUNTRY,COM,AFR,Africa,YEAR,2001,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,5.0 [2.4-8.0],4.96295,2.37966,8.01121,,2025-01-10T10:52:31Z,2001,2001-01-01,2001-12-31
15679,SDGSUICIDE,COUNTRY,TCD,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS15-29,,,,,4.1,4.12,,,,2021-07-16T09:22:30Z,2019,2019-01-01,2019-12-31
16375,SDGSUICIDE,COUNTRY,CAF,AFR,Africa,YEAR,2014,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,11.2 [6.7-18.8],11.23381,6.71321,18.78255,,2025-01-10T10:52:31Z,2014,2014-01-01,2014-12-31
16610,SDGSUICIDE,COUNTRY,SYC,AFR,Africa,YEAR,2020,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,6.6 [3.9-7.7],6.61203,3.90106,7.7474,,2025-01-10T10:52:31Z,2020,2020-01-01,2020-12-31
17024,SDGSUICIDE,COUNTRY,CZE,EUR,Europe,YEAR,2005,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,15.9 [14.4-17.4],15.88425,14.39712,17.43737,,2025-01-10T10:52:31Z,2005,2005-01-01,2005-12-31
17615,SDGSUICIDE,COUNTRY,FIN,EUR,Europe,YEAR,2005,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,10.8 [9.5-12.1],10.7847,9.48465,12.07921,,2025-01-10T10:52:31Z,2005,2005-01-01,2005-12-31
17703,SDGSUICIDE,COUNTRY,LBR,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS85PLUS,,,,,101.3,101.3,,,,2021-07-06T14:16:22Z,2019,2019-01-01,2019-12-31
17969,SDGSUICIDE,COUNTRY,USA,AMR,Americas,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS30-49,,,,,30.9,30.91,,,,2021-07-16T09:31:36Z,2019,2019-01-01,2019-12-31
18488,SDGSUICIDE,COUNTRY,PHL,WPR,Western Pacific,YEAR,2007,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,2.3 [1.8-2.6],2.33894,1.83715,2.64922,,2025-01-10T10:52:31Z,2007,2007-01-01,2007-12-31
18731,SDGSUICIDE,COUNTRY,NER,AFR,Africa,YEAR,2006,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,4.0 [2.1-7.3],4.00665,2.09532,7.31526,,2025-01-10T10:52:31Z,2006,2006-01-01,2006-12-31
19049,SDGSUICIDE,COUNTRY,PAN,AMR,Americas,YEAR,2009,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,8.0 [6.9-9.3],8.02891,6.93499,9.28551,,2025-01-10T10:52:31Z,2009,2009-01-01,2009-12-31
19292,SDGSUICIDE,COUNTRY,GBR,EUR,Europe,YEAR,2017,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,12.3 [11.9-12.7],12.25489,11.91113,12.659,,2025-01-10T10:52:31Z,2017,2017-01-01,2017-12-31
19857,SDGSUICIDE,COUNTRY,PRY,AMR,Americas,YEAR,2017,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,3.5 [2.2-4.9],3.54564,2.23846,4.89276,,2025-01-10T10:52:31Z,2017,2017-01-01,2017-12-31
19863,SDGSUICIDE,COUNTRY,DOM,AMR,Americas,YEAR,2015,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,1.9 [1.2-2.8],1.92647,1.19815,2.84345,,2025-01-10T10:52:31Z,2015,2015-01-01,2015-12-31
20871,SDGSUICIDE,COUNTRY,GRD,AMR,Americas,YEAR,2001,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,0.0 [0.0-0.0],0,0,0,,2025-01-10T10:52:31Z,2001,2001-01-01,2001-12-31
21419,SDGSUICIDE,COUNTRY,AGO,AFR,Africa,YEAR,2006,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,13.7 [8.5-19.5],13.6655,8.5462,19.52978,,2025-01-10T10:52:31Z,2006,2006-01-01,2006-12-31
22259,SDGSUICIDE,COUNTRY,LBR,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,5.9 [3.2-10.0],5.87271,3.18678,9.99792,,2025-01-10T10:52:31Z,2019,2019-01-01,2019-12-31
22429,SDGSUICIDE,COUNTRY,JPN,WPR,Western Pacific,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,10.4,10.44,,,,2021-07-16T09:25:57Z,2019,2019-01-01,2019-12-31
23536,SDGSUICIDE,COUNTRY,RUS,EUR,Europe,YEAR,2009,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,12.5 [12.0-12.8],12.5107,12.03123,12.83769,,2025-01-10T10:52:31Z,2009,2009-01-01,2009-12-31
24125,SDGSUICIDE,COUNTRY,FRA,EUR,Europe,YEAR,2020,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,9.5 [7.7-11.0],9.5337,7.6726,11.00238,,2025-01-10T10:52:31Z,2020,2020-01-01,2020-12-31
24692,SDGSUICIDE,COUNTRY,NER,AFR,Africa,YEAR,2017,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,4.5 [2.3-8.4],4.4995,2.34443,8.37094,,2025-01-10T10:52:31Z,2017,2017-01-01,2017-12-31
25984,SDGSUICIDE,COUNTRY,ISL,EUR,Europe,YEAR,2012,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,9.0 [7.5-10.6],8.96781,7.536,10.5618,,2025-01-10T10:52:31Z,2012,2012-01-01,2012-12-31
25993,SDGSUICIDE,COUNTRY,TKM,EUR,Europe,YEAR,2021,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,10.3 [7.2-12.3],10.32131,7.21183,12.2669,,2025-01-10T10:52:31Z,2021,2021-01-01,2021-12-31
28394,SDGSUICIDE,COUNTRY,COM,AFR,Africa,YEAR,2009,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,4.4 [2.5-7.0],4.40918,2.49435,7.03273,,2025-01-10T10:52:31Z,2009,2009-01-01,2009-12-31
28485,SDGSUICIDE,COUNTRY,WSM,WPR,Western Pacific,YEAR,2012,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,11.9 [7.4-17.6],11.88414,7.44083,17.62701,,2025-01-10T10:52:31Z,2012,2012-01-01,2012-12-31
28659,SDGSUICIDE,COUNTRY,SVN,EUR,Europe,YEAR,2006,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,12.0 [10.2-13.8],11.96578,10.24775,13.82525,,2025-01-10T10:52:31Z,2006,2006-01-01,2006-12-31
29202,SDGSUICIDE,COUNTRY,RUS,EUR,Europe,YEAR,2000,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,53.1 [51.4-54.1],53.05821,51.44479,54.08584,,2025-01-10T10:52:31Z,2000,2000-01-01,2000-12-31
29646,SDGSUICIDE,COUNTRY,NER,AFR,Africa,YEAR,2010,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,4.1 [2.2-7.6],4.13454,2.15673,7.6369,,2025-01-10T10:52:31Z,2010,2010-01-01,2010-12-31
30279,SDGSUICIDE,COUNTRY,ALB,EUR,Europe,YEAR,2021,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,3.2 [2.2-5.0],3.19304,2.22472,5.00088,,2025-01-10T10:52:31Z,2021,2021-01-01,2021-12-31
30871,SDGSUICIDE,COUNTRY,HRV,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS85PLUS,,,,,62.2,62.22,,,,2021-07-06T14:16:19Z,2019,2019-01-01,2019-12-31
31042,SDGSUICIDE,COUNTRY,CMR,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS75-84,,,,,35.9,35.87,,,,2021-07-06T14:15:56Z,2019,2019-01-01,2019-12-31
31418,SDGSUICIDE,COUNTRY,KOR,WPR,Western Pacific,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS30-49,,,,,39.7,39.67,,,,2021-07-16T09:31:28Z,2019,2019-01-01,2019-12-31
31583,SDGSUICIDE,COUNTRY,BFA,AFR,Africa,YEAR,2017,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,4.2 [2.4-6.8],4.18882,2.38784,6.77602,,2025-01-10T10:52:31Z,2017,2017-01-01,2017-12-31
31660,SDGSUICIDE,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2011,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,0.6 [0.4-0.9],0.59693,0.39404,0.85436,,2025-01-10T10:52:31Z,2011,2011-01-01,2011-12-31
31772,SDGSUICIDE,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2011,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,1.3 [0.9-1.7],1.30555,0.87837,1.66039,,2025-01-10T10:52:31Z,2011,2011-01-01,2011-12-31
32296,SDGSUICIDE,COUNTRY,HTI,AMR,Americas,YEAR,2013,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,5.9 [2.3-9.9],5.94801,2.30662,9.92047,,2025-01-10T10:52:31Z,2013,2013-01-01,2013-12-31
33444,SDGSUICIDE,COUNTRY,AUS,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,5.9,5.94,,,,2021-07-16T09:25:50Z,2019,2019-01-01,2019-12-31
33973,SDGSUICIDE,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS15-29,,,,,3.9,3.86,,,,2021-07-16T09:22:24Z,2019,2019-01-01,2019-12-31
34792,SDGSUICIDE,COUNTRY,BEN,AFR,Africa,YEAR,2000,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,6.7 [4.1-10.1],6.69739,4.11198,10.0545,,2025-01-10T10:52:31Z,2000,2000-01-01,2000-12-31
35013,SDGSUICIDE,COUNTRY,CMR,AFR,Africa,YEAR,2003,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,12.3 [7.8-18.6],12.26732,7.80516,18.55131,,2025-01-10T10:52:31Z,2003,2003-01-01,2003-12-31
35463,SDGSUICIDE,COUNTRY,LBR,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS25-34,,,,,2.3,2.25,,,,2021-07-06T14:14:20Z,2019,2019-01-01,2019-12-31
35542,SDGSUICIDE,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2004,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,6.6 [3.2-12.3],6.58411,3.24585,12.25746,,2025-01-10T10:52:31Z,2004,2004-01-01,2004-12-31
35961,SDGSUICIDE,COUNTRY,RWA,AFR,Africa,YEAR,2008,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,4.6 [2.6-7.7],4.57654,2.64873,7.74044,,2025-01-10T10:52:31Z,2008,2008-01-01,2008-12-31
36035,SDGSUICIDE,COUNTRY,CHE,EUR,Europe,YEAR,2009,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,22.8 [20.5-25.1],22.7844,20.49379,25.06924,,2025-01-10T10:52:31Z,2009,2009-01-01,2009-12-31
37788,SDGSUICIDE,COUNTRY,SEN,AFR,Africa,YEAR,2004,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,3.5 [2.1-5.1],3.47704,2.07385,5.13795,,2025-01-10T10:52:31Z,2004,2004-01-01,2004-12-31
38000,SDGSUICIDE,COUNTRY,DEU,EUR,Europe,YEAR,2006,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,6.7 [5.8-7.4],6.65496,5.84505,7.38239,,2025-01-10T10:52:31Z,2006,2006-01-01,2006-12-31
38708,SDGSUICIDE,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2013,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,3.0 [2.0-4.6],3.02204,1.99362,4.62096,,2025-01-10T10:52:31Z,2013,2013-01-01,2013-12-31
38742,SDGSUICIDE,COUNTRY,TKM,EUR,Europe,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS55-64,,,,,10.2,10.15,,,,2021-07-06T14:15:30Z,2019,2019-01-01,2019-12-31
38798,SDGSUICIDE,COUNTRY,ERI,AFR,Africa,YEAR,2005,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,19.8 [12.2-33.6],19.77025,12.23378,33.61028,,2025-01-10T10:52:31Z,2005,2005-01-01,2005-12-31
39335,SDGSUICIDE,WORLDBANKINCOMEGROUP,WB_LI,,,YEAR,2017,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,6.3 [3.7-10.0],6.28195,3.6683500000000002,9.95697,,2025-01-10T10:52:31Z,2017,2017-01-01,2017-12-31
40111,SDGSUICIDE,COUNTRY,PER,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS25-34,,,,,1.7,1.74,,,,2021-07-06T14:14:24Z,2019,2019-01-01,2019-12-31
40952,SDGSUICIDE,COUNTRY,GMB,AFR,Africa,YEAR,2018,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,4.9 [2.5-8.6],4.90718,2.49243,8.63657,,2025-01-10T10:52:31Z,2018,2018-01-01,2018-12-31
41368,SDGSUICIDE,COUNTRY,CAF,AFR,Africa,YEAR,2005,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,10.7 [5.9-16.3],10.74745,5.92361,16.28063,,2025-01-10T10:52:31Z,2005,2005-01-01,2005-12-31
41925,SDGSUICIDE,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,8.3 [5.7-10.9],8.30045,5.68013,10.94498,,2025-01-10T10:52:31Z,2016,2016-01-01,2016-12-31
43965,SDGSUICIDE,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS15-29,,,,,6.4,6.4,,,,2021-07-16T09:22:25Z,2019,2019-01-01,2019-12-31
45105,SDGSUICIDE,COUNTRY,ISR,EUR,Europe,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS75-84,,,,,19.5,19.52,,,,2021-07-06T14:16:01Z,2019,2019-01-01,2019-12-31
45944,SDGSUICIDE,COUNTRY,SVK,EUR,Europe,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,6.3,6.28,,,,2021-07-16T09:26:03Z,2019,2019-01-01,2019-12-31
46406,SDGSUICIDE,COUNTRY,GAB,AFR,Africa,YEAR,2006,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,15.1 [9.6-22.8],15.09768,9.59372,22.80652,,2025-01-10T10:52:31Z,2006,2006-01-01,2006-12-31
47604,SDGSUICIDE,COUNTRY,VEN,AMR,Americas,YEAR,2002,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,10.8 [9.3-12.4],10.7936,9.34099,12.39259,,2025-01-10T10:52:31Z,2002,2002-01-01,2002-12-31
47853,SDGSUICIDE,COUNTRY,CUB,AMR,Americas,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS75-84,,,,,76.2,76.22,,,,2021-07-06T14:15:57Z,2019,2019-01-01,2019-12-31
48744,SDGSUICIDE,COUNTRY,BEL,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS55-64,,,,,20,19.95,,,,2021-07-06T14:15:15Z,2019,2019-01-01,2019-12-31
48795,SDGSUICIDE,COUNTRY,WSM,WPR,Western Pacific,YEAR,2004,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARSALL,,,,,15.1 [9.3-23.0],15.14098,9.27621,23.03654,,2025-01-10T10:52:31Z,2004,2004-01-01,2004-12-31
48902,SDGSUICIDE,COUNTRY,MYS,WPR,Western Pacific,YEAR,2001,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARSALL,,,,,4.2 [3.1-5.7],4.24652,3.12072,5.74698,,2025-01-10T10:52:31Z,2001,2001-01-01,2001-12-31
48978,SDGSUICIDE,COUNTRY,NAM,AFR,Africa,YEAR,2019,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS35-44,,,,,31.4,31.36,,,,2021-07-06T14:14:45Z,2019,2019-01-01,2019-12-31
49451,SDGSUICIDE,COUNTRY,SUR,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS55-64,,,,,19.8,19.76,,,,2021-07-06T14:15:29Z,2019,2019-01-01,2019-12-31
